INFO:root:Using device: cuda
INFO:root:Epoch 100/200, Loss: 220.54612811418076
INFO:root:Epoch 101/200, Loss: 318.5843644865966
INFO:root:Epoch 102/200, Loss: 74.61566325603442
INFO:root:Epoch 103/200, Loss: 98.86243548526612
INFO:root:Epoch 104/200, Loss: 108.29108221231631
INFO:root:Epoch 105/200, Loss: 55.7465087097187
INFO:root:Epoch 106/200, Loss: 33.33199970373471
INFO:root:Epoch 107/200, Loss: 64.01413066467121
INFO:root:Epoch 108/200, Loss: 42.61360676070609
INFO:root:Epoch 109/200, Loss: 51.56035127179579
INFO:root:Epoch 110/200, Loss: 65.71672888838893
INFO:root:Epoch 111/200, Loss: 96.24900473341934
INFO:root:Epoch 112/200, Loss: 220.65633645250085
INFO:root:Epoch 113/200, Loss: 228.37581867063034
INFO:root:Epoch 114/200, Loss: 392.70906843066206
INFO:root:Epoch 115/200, Loss: 33.49069041276672
INFO:root:Epoch 116/200, Loss: 53.55823379167088
INFO:root:Epoch 117/200, Loss: 83.97688975210743
INFO:root:Epoch 118/200, Loss: 126.76034652025628
INFO:root:Epoch 119/200, Loss: 671.2860788220144
INFO:root:Epoch 120/200, Loss: 338.7315090966507
INFO:root:Epoch 121/200, Loss: 50.01475894218997
INFO:root:Epoch 122/200, Loss: 98.1044477794147
INFO:root:Epoch 123/200, Loss: 60.207411825900266
INFO:root:Epoch 124/200, Loss: 63.01341909384986
INFO:root:Epoch 125/200, Loss: 89.64946743851053
INFO:root:Epoch 126/200, Loss: 98.06767348293867
INFO:root:Epoch 127/200, Loss: 53.750640481189116
INFO:root:Epoch 128/200, Loss: 52.847494411960795
INFO:root:Epoch 129/200, Loss: 76.57072690415973
INFO:root:Epoch 130/200, Loss: 38.36148811000465
INFO:root:Epoch 131/200, Loss: 45.22032187165103
INFO:root:Epoch 132/200, Loss: 468.67941559052986
INFO:root:Epoch 133/200, Loss: 116.25324445695865
INFO:root:Epoch 134/200, Loss: 377.75532945616743
INFO:root:Epoch 135/200, Loss: 124.84272088613875
INFO:root:Epoch 136/200, Loss: 94.78669696715056
INFO:root:Epoch 137/200, Loss: 91.69539699992755
INFO:root:Epoch 138/200, Loss: 62.385089095173726
INFO:root:Epoch 139/200, Loss: 147.14154111644075
INFO:root:Epoch 140/200, Loss: 50.60119094062401
INFO:root:Epoch 141/200, Loss: 426.17484108520785
INFO:root:Epoch 142/200, Loss: 77.18871602883677
INFO:root:Epoch 143/200, Loss: 41.559063702269725
INFO:root:Epoch 144/200, Loss: 676.0197357510543
INFO:root:Epoch 145/200, Loss: 36.78581626518715
INFO:root:Epoch 146/200, Loss: 101.04164049422151
INFO:root:Epoch 147/200, Loss: 329.22254260138794
INFO:root:Epoch 148/200, Loss: 65.75484763894048
INFO:root:Epoch 149/200, Loss: 310.6805193142424
INFO:root:Epoch 150/200, Loss: 66.53214856535226
INFO:root:Epoch 151/200, Loss: 54.34738737773047
INFO:root:Epoch 152/200, Loss: 174.2326182230303
INFO:root:Epoch 153/200, Loss: 48.26588775919274
INFO:root:Epoch 154/200, Loss: 52.25061456448664
INFO:root:Epoch 155/200, Loss: 55.96094912985587
INFO:root:Epoch 156/200, Loss: 69.0958622625768
INFO:root:Epoch 157/200, Loss: 104.8646145482675
INFO:root:Epoch 158/200, Loss: 37.18554709969871
INFO:root:Epoch 159/200, Loss: 190.56610438633658
INFO:root:Epoch 160/200, Loss: 80.63005798954082
INFO:root:Epoch 161/200, Loss: 233.29293446739314
INFO:root:Epoch 162/200, Loss: 72.96714537866089
INFO:root:Epoch 163/200, Loss: 124.57432272805883
INFO:root:Epoch 164/200, Loss: 68.0499221173574
INFO:root:Epoch 165/200, Loss: 456.3745953777433
INFO:root:Epoch 166/200, Loss: 78.29281830138328
INFO:root:Epoch 167/200, Loss: 79.42507890673966
INFO:root:Epoch 168/200, Loss: 77.0541649349662
INFO:root:Epoch 169/200, Loss: 60.47277054218543
INFO:root:Epoch 170/200, Loss: 59.95652164340399
INFO:root:Epoch 171/200, Loss: 23.174000256369247
INFO:root:Epoch 172/200, Loss: 397.3561780842719
INFO:root:Epoch 173/200, Loss: 43.4472877332835
INFO:root:Epoch 174/200, Loss: 87.65736471375041
INFO:root:Epoch 175/200, Loss: 97.21172253402257
INFO:root:Epoch 176/200, Loss: 59.08159218043423
INFO:root:Epoch 177/200, Loss: 57.136592141904536
INFO:root:Epoch 178/200, Loss: 36.189242895452466
INFO:root:Epoch 179/200, Loss: 330.94965667998383
INFO:root:Epoch 180/200, Loss: 68.7706679063032
INFO:root:Epoch 181/200, Loss: 72.85255307276705
INFO:root:Epoch 182/200, Loss: 40.996252368295934
INFO:root:Epoch 183/200, Loss: 74.22628054529082
INFO:root:Epoch 184/200, Loss: 38.13443600467883
INFO:root:Epoch 185/200, Loss: 49.82040164279584
INFO:root:Epoch 186/200, Loss: 168.55382831128958
INFO:root:Epoch 187/200, Loss: 162.74523847541255
